stationFIN;stationENG
Pasila autojuna-asemalle;to Pasila autojuna-asema
Pasila tavaraan;to Pasila tavara
Patokankaalle;to Patokangas
Pelkolaan;to Pelkola
Pelloon;to Pello
Peräseinäjoelle;to Peräseinäjoki
Pesiökylään;to Pesiökylä
Petäjävedelle;to Petäjävesi
Pieksämäkeen;to Pieksämäki asema
Pieksämäki lajitteluun;to Pieksämäki lajittelu
Pieksämäki tavaraan;to Pieksämäki tavara
Pieksämäki Temuun;to Pieksämäki Temu
Pietarsaareen;to Pietarsaari
Pihjalavedelle;to Pihlajavesi
Piikkiöön;to Piikkiö
Pirkkalaan;to Pikkarala
Pitäjänmäelle;to Pitäjänmäki
Pohjankuruun;to Pohjankuru
Pohjois-Haagaan;to Pohjois-Haaga
Pohjois-Loukoon;to Pohjois-Louko
Poikkeukseen;to Poikkeus
Poriin;to Pori
Porvooseen;to Porvoo
Puhokselle;to Puhos
Puistolaan;to Puistola
Pukinmäkeen;to Pukinmäki
Pulsaan;to Pulsa
Punkaharjulle;to Punkaharju
Purolaan;to Purola
Pyhäkumpuun;to Pyhäkumpu
Pyhäkumpu erkanemisvaihteelle;to Pyhäkumpu erkanemisvaihde
Pyhäsalmeen;to Pyhäsalmi
Pännäisiin;to Pännäinen
Pääskylahteen;to Pääskylahti
Raaheen;to Raahe
Raippoon;to Raippo
Raisioon;to Raisio
Rajamäelle;to Rajamäki
Rajaperkiöön;to Rajaperkiö
Rantasalmelle;to Rantasalmi
Rasinsuolle;to Rasinsuo
Ratikylään;to Ratikylä
Rauhaan;to Rauha
Raumalle;to Rauma
Raunioon;to Raunio
Rautaruukkiin;to Rautaruukki
Rautjärvelle;to Rautjärvi
Rekolaan;to Rekola
Retrettiin;to Retretti
Riihimäki Arolammelle;to Riihimäki Arolampi
Riihimäelle;to Riihimäki asema
Riihimäki lajitteluun;to Riihimäki lajittelu
Riihimäki tavaraan;to Riihimäki tavara
Riijärvelle;to Riijärvi
Riippaan;to Riippa
Ristiinaan;to Ristiina
Ristijärvelle;to Ristijärvi
Rovaniemelle;to Rovaniemi
Ruhaan;to Ruha
Runniin;to Runni
Ruokosuolle;to Ruokosuo
Ruukkiin;to Ruukki
Ruusumäelle;to Ruusumäki
Ryttylään;to Ryttylä
Röyttään;to Röyttä
Saakoskelle;to Saakoski
Saareen;to Saari
Saarijärvelle;to Saarijärvi
Salmisiin;to Salminen
Saloon;to Salo
Sammalistoon;to Sammalisto
Santalaan;to Santala
Saunakallioon;to Saunakallio
Saunamäkeen;to Saunamäki
Savioon;to Savio
Savonlinnaan;to Savonlinna asema
