stationName;stationFrom;stationTo
Syrjämäki;Syrjämäestä;Syrjämäkeen
Sysmäjärvi;Sysmäjärveltä;Sysmäjärvelle
Säkäniemi;Säkäniemestä;Säkäniemeen
Sääksjärvi;Sääksjärveltä;Sääksjärvelle
Taavetti;Taavetista;Taavettiin
Tahkoluoto;Tahkoluodosta;Tahkoluotoon
Taipale;Taipaleelta;Taipaleelle
Talviainen;Talviaisista;Talviaisiin
Talvivaara;Talvivaarasta;Talvivaaraan
Tammisaari;Tammisaaresta;Tammisaareen
Tampere asema;Tampereelta;Tampereelle
Tampere Järvensivu;Tampere Järvensivulta;Tampere Järvensivuun
Tampere tavara;Tampere tavarasta;Tampere tavaraan
Tampere Viinikka;Tampere Viinikasta;Tampere Viinikkaan
Tapanila;Tapanilasta;Tapanilaan
Tapavainola;Tapavainolasta;Tapavainolaan
Tavastila;Tavastilasta;Tavastilaan
Tervajoki;Tervajoelta;Tervajoelle
Tervola;Tervolasta;Tervolaan
Teuva;Teuvasta;Teuvaan
Tikkala;Tikkalasta;Tikkalaan
Tikkaperä;Tikkaperästä;Tikkaperään
Tikkurila asema;Tikkurilasta;Tikkurilaan
Tohmajärvi;Tohmajärveltä;Tohmajärvelle
Toijala;Toijalasta;Toijalaan
Toivala;Toivalasta;Toivalaan
Tolsa;Tolsasta;Tolsaan
Tommola;Tommolasta;Tommolaan
Torkkeli;Torkkelista;Torkkeliin
Tornio asema;Torniosta;Tornioon
Tornio-Itäinen;Tornio-Itäisestä;Tornio-Itäiseen
Tornio-raja;Tornio-rajalta;Tornio-rajalle
Tuomarila;Tuomarilasta;Tuomarilaan
Tuomioja;Tuomiojalta;Tuomiojalle
Turenki;Turengista;Turenkiin
Turku asema;Turusta;Turkuun
Turku satama;Turku satamasta;Turku satamaan
Turku tavara;Turku tavarasta;Turku tavaraan
Tuupovaara;Tuupovaarasta;Tuupovaaraan
Tuuri;Tuurista;Tuuriin
Törmä;Törmästä;Törmään
Törölä;Törölästä;Törölään
Uimaharju;Uimaharjulta;Uimaharjuun
Urjala;Urjalasta;Urjalaan
Utajärvi;Utajärveltä;Utajärvelle
Uusikaupunki;Uusikaupungista;Uusikaupunkiin
Uusikylä;Uusikylästä;Uusikylään
Vaajakoski;Vaajakoskelta;Vaajakoskelle
Vaala;Vaalasta;Vaalaan
Vaasa;Vaasasta;Vaasaan
Vahojärvi;Vahojärveltä;Vahojärvelle
Vainikkala asema;Vainikkalasta;Vainikkalaan
Vainikkala tavara;Vainikkala tavarasta;Vainikkala tavaraan
Vainikkala-raja;Vainikkala-rajalta;Vainikkala-rajalle
Valimo;Valimosta;Valimoon
Valkeakoski;Valkeakoskelta;Valkeakoskelle
Valtimo;Valtimosta;Valtimoon
Vammala;Vammalasta;Vammalaan
Vanattara;Vanattarasta;Vanattaraan
Vantaankoski;Vantaankoskelta;Vantaankoskelle
Varkaus;Varkaudesta;Varkauteen
Vartius;Vartiuksesta;Vartiukseen
Vartius-raja;Vartius-rajalta;Vartius-rajalle
Vasikkahaka;Vasikkahaasta;Vasikkahakaan
Vaskiluoto;Vaskiluodosta;Vaskiluotoon
Vehkala;Vehkalasta;Vehkalaan
Venetmäki;Venetmäeltä;Venetmäkeen
Vesanka;Vesangasta;Vesankaan
Vierumäki;Vierumäeltä;Vierumäelle
Vihanti;Vihannista;Vihantiin
Vihtari;Vihtarista;Vihtariin
Viiala;Viialasta;Viialaan
Viinijärvi;Viinijärveltä;Viinijärvelle
Villähde;Villähteeltä;Villähteelle
Vilppula;Vilppulasta;Vilppulaan
Vinnilä;Vinnilästä;Vinnilään
Virkamies;Virkmiehestä;Virkamieheen
Voltti;Voltista;Volttiin
Vuohijärvi;Vuohijärveltä;Vuohijärveen
Vuojoki;Vuojoelta;Vuojoelle
Vuokatti;Vuokatista;Vuokattiin
Vuonislahti;Vuonislahdelta;Vuonislahdelle
Vuonos;Vuonoksesta;Vuonokseen
Vuosaari;Vuosaaresta;Vuosaareen
Ykspihlaja tavara;Ykspihlaja tavarasta;Ykspihlaja tavaraan
